Date,Close
2020-03-16,89.014
2020-03-17,86.040001
2020-03-18,72.244003
2020-03-19,85.528
2020-03-20,85.505997
2020-03-23,86.858002
2020-03-24,101
2020-03-25,107.849998
2020-03-26,105.632004
2020-03-27,102.872002
2020-03-30,100.426003
2020-03-31,104.800003
2020-04-01,96.311996
2020-04-02,90.893997
2020-04-03,96.001999
2020-04-06,103.248001
2020-04-07,109.089996
2020-04-08,109.767998
2020-04-09,114.599998
2020-04-13,130.190002
2020-04-14,141.977997
2020-04-15,145.966003
2020-04-16,149.042007
2020-04-17,150.778
2020-04-20,149.272003
2020-04-21,137.343994
2020-04-22,146.421997
2020-04-23,141.126007
2020-04-24,145.029999
2020-04-27,159.75
2020-04-28,153.824005
2020-04-29,160.102005
2020-04-30,156.376007
2020-05-01,140.264008
2020-05-04,152.238007
2020-05-05,153.641998
2020-05-06,156.516006
2020-05-07,156.007996
2020-05-08,163.884003
2020-05-11,162.257996
2020-05-12,161.882004
2020-05-13,158.192001
2020-05-14,160.666
2020-05-15,159.834
2020-05-18,162.725998
2020-05-19,161.602005
2020-05-20,163.112
2020-05-21,165.520004
2020-05-22,163.376007
2020-05-26,163.774002
2020-05-27,164.046005
2020-05-28,161.162003
2020-05-29,167
2020-06-01,179.619995
2020-06-02,176.311996
2020-06-03,176.591995
2020-06-04,172.876007
2020-06-05,177.132004
2020-06-08,189.983994
2020-06-09,188.134003
2020-06-10,205.009995
2020-06-11,194.567993
2020-06-12,187.056
2020-06-15,198.179993
2020-06-16,196.425995
2020-06-17,198.358002
2020-06-18,200.792007
2020-06-19,200.179993
2020-06-22,198.863998
2020-06-23,200.356003
2020-06-24,192.169998
2020-06-25,197.195999
2020-06-26,191.947998
2020-06-29,201.869995
2020-06-30,215.962006
2020-07-01,223.925995
2020-07-02,241.731995
2020-07-06,274.31601
2020-07-07,277.971985
2020-07-08,273.175995
2020-07-09,278.855988
2020-07-10,308.929993
2020-07-13,299.411987
2020-07-14,303.359985
2020-07-15,309.201996
2020-07-16,300.127991
2020-07-17,300.167999
2020-07-20,328.600006
2020-07-21,313.671997
2020-07-22,318.466003
2020-07-23,302.614014
2020-07-24,283.399994
2020-07-27,307.920013
2020-07-28,295.298004
2020-07-29,299.821991
2020-07-30,297.497986
2020-07-31,286.152008
2020-08-03,297
2020-08-04,297.399994
2020-08-05,297.003998
2020-08-06,297.915985
2020-08-07,290.541992
2020-08-10,283.713989
2020-08-11,274.877991
2020-08-12,310.951996
2020-08-13,324.200012
2020-08-14,330.141998
2020-08-17,367.127991
2020-08-18,377.417999
2020-08-19,375.705994
2020-08-20,400.365997
2020-08-21,409.996002
2020-08-24,402.839996
2020-08-25,404.667999
2020-08-26,430.634003
2020-08-27,447.75
2020-08-28,442.679993
2020-08-31,498.320007
2020-09-01,475.049988
2020-09-02,447.369995
2020-09-03,407
2020-09-04,418.320007
2020-09-08,330.209991
2020-09-09,366.279999
2020-09-10,371.339996
2020-09-11,372.720001
2020-09-14,419.619995
2020-09-15,449.76001
2020-09-16,441.76001
2020-09-17,423.429993
2020-09-18,442.149994
2020-09-21,449.390015
2020-09-22,424.230011
2020-09-23,380.359985
2020-09-24,387.790009
2020-09-25,407.339996
2020-09-28,421.200012
2020-09-29,419.070007
2020-09-30,429.01001
2020-10-01,448.160004
2020-10-02,415.089996
2020-10-05,425.679993
2020-10-06,413.980011
2020-10-07,425.299988
2020-10-08,425.920013
2020-10-09,434
2020-10-12,442.299988
2020-10-13,446.649994
2020-10-14,461.299988
2020-10-15,448.880005
2020-10-16,439.670013
2020-10-19,430.829987
2020-10-20,421.940002
2020-10-21,422.640015
2020-10-22,425.790009
2020-10-23,420.630005
2020-10-26,420.279999
2020-10-27,424.679993
2020-10-28,406.019989
2020-10-29,410.829987
2020-10-30,388.040009
2020-11-02,400.51001
2020-11-03,423.899994
2020-11-04,420.980011
2020-11-05,438.089996
2020-11-06,429.950012
2020-11-09,421.26001
2020-11-10,410.359985
2020-11-11,417.130005
2020-11-12,411.76001
2020-11-13,408.5
2020-11-16,408.089996
2020-11-17,441.609985
2020-11-18,486.640015
2020-11-19,499.269989
2020-11-20,489.609985
2020-11-23,521.849976
2020-11-24,555.380005
2020-11-25,574
2020-11-27,585.76001
2020-11-30,567.599976
2020-12-01,584.76001
2020-12-02,568.820007
2020-12-03,593.380005
2020-12-04,599.039978
2020-12-07,641.76001
2020-12-08,649.880005
2020-12-09,604.47998
2020-12-10,627.070007
2020-12-11,609.98999
2020-12-14,639.830017
2020-12-15,633.25
2020-12-16,622.77002
2020-12-17,655.900024
2020-12-18,695
2020-12-21,649.859985
2020-12-22,640.340027
2020-12-23,645.97998
2020-12-24,661.77002
2020-12-28,663.690002
2020-12-29,665.98999
2020-12-30,694.780029
2020-12-31,705.669983
2021-01-04,729.77002
2021-01-05,735.109985
2021-01-06,755.97998
2021-01-07,816.039978
2021-01-08,880.02002
2021-01-11,811.190002
2021-01-12,849.440002
2021-01-13,854.409973
2021-01-14,845
2021-01-15,826.159973
2021-01-19,844.549988
2021-01-20,850.450012
2021-01-21,844.98999
2021-01-22,846.640015
2021-01-25,880.799988
2021-01-26,883.090027
2021-01-27,864.159973
2021-01-28,835.429993
2021-01-29,793.530029
2021-02-01,839.809998
2021-02-02,872.789978
2021-02-03,854.690002
2021-02-04,849.98999
2021-02-05,852.22998
2021-02-08,863.419983
2021-02-09,849.460022
2021-02-10,804.820007
2021-02-11,811.659973
2021-02-12,816.119995
2021-02-16,796.219971
2021-02-17,798.150024
2021-02-18,787.380005
2021-02-19,781.299988
2021-02-22,714.5
2021-02-23,698.840027
2021-02-24,742.02002
2021-02-25,682.219971
2021-02-26,675.5
2021-03-01,718.429993
2021-03-02,686.440002
2021-03-03,653.200012
2021-03-04,621.440002
2021-03-05,597.950012
2021-03-08,563
2021-03-09,673.580017
2021-03-10,668.059998
2021-03-11,699.599976
2021-03-12,693.72998
2021-03-15,707.940002
